ip_risk_score,is_vpn,is_new_device,is_new_country,login_hour,failed_attempts,request_speed,device_trust_score
0.010367429944284901,0,1,0,6,0,0.08881586556563247,0.7295064636432906
0.0017287069448035566,0,0,0,20,0,0.20596453364136438,0.9238668250012925
0.0012434004664372356,0,1,0,6,0,0.08179044101579891,0.8789419042558364
0.0036068961262900887,0,0,0,2,0,0.03665169073114138,0.8931667771443234
0.006832423683076802,0,0,0,14,0,0.06145869285819712,0.6001466342188754
0.011371948300652785,0,0,0,6,0,0.08828966527387673,0.8487781272162646
0.002538003335042648,0,0,0,6,0,0.028850059938770226,0.8361797756292287
0.06716067405410636,0,0,0,12,0,0.08058022629684675,0.8631287854891808
0.013656744650859965,0,0,0,23,0,0.013909883798960524,0.6143366189267635
0.10076477602573128,0,0,0,10,0,0.150360309767251,0.7496588012292452
0.006557157010465246,0,0,0,7,1,0.11235045017882409,0.7343406277559836
0.0038223023573229135,0,0,0,6,0,0.05953039793061038,0.8240916950903799
0.04265045813237006,0,0,0,7,0,0.07086587541862878,0.8932780941480951
0.001045444784110078,0,0,0,13,0,0.11288492361232894,0.8932371483268167
0.030169037146022253,0,0,0,1,0,0.07405044533233664,0.8355664891045156
0.021309308262624883,0,0,0,23,0,0.08333695237378393,0.7648862901775338
0.04880321515947758,0,0,0,15,0,0.025587235280478772,0.8696680877854505
0.07512459868673675,0,0,0,0,0,0.14852541543738937,0.9769831391300207
0.0024262901860296724,0,0,0,10,0,0.1861003494231478,0.8030637954864471
0.017157978944292038,0,1,0,21,0,0.16059922105215904,0.8534892414708652
0.009672924289075064,0,0,0,23,4,0.15730491259178725,0.8679441873596638
0.006298556798693877,0,0,0,8,0,0.07700779063707297,0.8647547941603162
0.0103638242330898,0,0,0,7,0,0.2653136950759093,0.7770956247734362
0.09681923183904603,0,0,0,14,0,0.03721455194204604,0.9973557412776168
0.03787782453231966,0,0,0,8,0,0.08497374392123147,0.9129346994639348
0.007176225083211295,0,1,0,8,0,0.08775114474654955,0.8450178019323581
0.00803275654830058,0,0,0,9,0,0.10006839079083507,0.8996564305120629
0.06232837875112923,0,1,0,8,0,0.06927691990953204,0.7581948526122293
0.021969878072473876,0,0,0,17,4,0.022590064172559203,0.5646972306100566
0.08497785854143595,0,0,0,17,0,0.12913262924157154,0.8490291411587124
0.011973919032316205,0,0,0,7,0,0.16386283452031516,0.8991073708863254
0.006177220255289169,0,1,0,4,0,0.027172437657490875,0.8434983911611169
0.02411492815459614,0,0,0,2,0,0.07884930414439095,0.6464669768475898
0.01621244147936749,1,0,0,11,0,0.1272495528491635,0.9928820989249854
0.0651017366099396,0,0,0,6,0,0.1580236087798591,0.6406555706470582
0.05129718724188088,0,0,0,7,2,0.07877976431124258,0.9171313220699004
0.02575647140842255,0,0,0,4,0,0.09527616937823309,0.8747788322870066
0.015265091046367977,0,0,0,8,0,0.006538863862608789,0.7614744092582043
0.023642076564658113,0,0,0,16,0,0.1752485202681855,0.7608617120110177
0.0043131104425732,0,0,0,12,0,0.06886103404384028,0.8325265983449148
0.0060370545682645734,0,1,0,10,0,0.07092413159539455,0.7380220560080808
0.06199250139271073,0,0,0,1,0,0.11793113966495733,0.9349632795144737
0.018437950242283088,0,0,0,11,1,0.14640395705548034,0.6824879600436349
0.011684468285743222,0,1,0,17,0,0.13543901747522943,0.7303582920728684
0.004003997996024474,0,0,0,11,0,0.019610229172831267,0.763098902574609
0.05792248486077595,1,0,0,11,0,0.10784265074661113,0.6891753705970693
0.02766800881222806,0,0,0,6,0,0.1676945061414216,0.7519466798183291
0.03327973172544928,0,0,0,6,0,0.13812191358959333,0.8825493560924079
0.006595331084067557,0,0,0,8,0,0.157441508317374,0.8395927602807598
0.11623306066883511,0,0,0,13,0,0.03344320737948401,0.7166982441186741
0.04897131660343872,0,0,0,14,0,0.06455380610472357,0.9002285502490314
0.0014211625362766393,0,0,0,6,0,0.07844107620302665,0.7321079428197144
0.039294155561435624,0,0,0,3,0,0.13019559314971108,0.6063808176609252
0.016400472422897504,0,0,0,8,0,0.034771153603250775,0.8233893938277275
0.07306305627695905,1,0,0,23,0,0.13318726981446286,0.891878391189018
0.005799484167635493,0,1,0,7,0,0.1520500022907173,0.8428614523084679
0.01791363209208051,0,1,0,7,0,0.0851693299534058,0.8307342851122482
